home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_21518,League_24558,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,B365_Win,B365_Draw,B365_Lose,BW_Win,BW_Draw,BW_Lose,label
-8,-10,4,2,0,0,1,0,70.0,76.0,76.0,75.0,71.0,77.0,76.0,74.0,75.0,73.0,78.0,75.0,72.0,75.0,75.0,75.0,75.0,77.0,75.0,72.0,74.0,76.0,0.4767025089605735,0.27240143369175623,0.25089605734767023,0.46539379474940334,0.2863961813842482,0.24821002386634847,Draw
-5,10,1,7,0,0,1,0,77.0,71.0,74.0,74.0,73.0,73.0,75.0,76.0,70.0,62.0,75.0,81.0,81.0,79.0,85.0,82.0,78.0,80.0,76.0,83.0,83.0,79.0,0.1365138252854907,0.25482580719958264,0.6086603675149267,0.14224483395476878,0.24619298184479216,0.6115621842004391,Lose
3,-4,4,2,0,0,1,0,79.0,80.0,77.0,79.0,79.0,80.0,80.0,76.0,81.0,78.0,82.0,79.0,75.0,74.0,73.0,76.0,72.0,78.0,76.0,70.0,73.0,75.0,0.6543619089837492,0.21912812194605918,0.12650996907019152,0.6263219741480611,0.22914218566392483,0.1445358401880141,Draw
3,14,5,7,0,0,1,0,76.0,81.0,75.0,80.0,77.0,78.0,79.0,81.0,78.0,79.0,77.0,81.0,81.0,84.0,87.0,83.0,87.0,93.0,87.0,77.0,87.0,86.0,0.19154228855721392,0.2280265339966832,0.5804311774461027,0.21628498727735368,0.22391857506361323,0.5597964376590331,Win
-6,0,3,4,0,0,1,0,77.0,76.0,73.0,75.0,74.0,77.0,76.0,74.0,74.0,71.0,74.0,79.0,69.0,75.0,80.0,78.0,79.0,77.0,82.0,79.0,76.0,77.0,0.3324808184143222,0.29923273657289,0.3682864450127877,0.34010564811052413,0.30719219829337663,0.3527021535960991,Draw
-5,0,1,3,0,0,1,0,71.0,74.0,73.0,70.0,72.0,72.0,74.0,76.0,71.0,72.0,71.0,74.0,76.0,82.0,81.0,77.0,80.0,73.0,80.0,77.0,77.0,80.0,0.3872529245663574,0.2964905203711174,0.3162565550625252,0.3741701870850936,0.30778515389257693,0.3180446590223295,Draw
14,7,7,5,0,0,1,0,83.0,84.0,85.0,83.0,84.0,84.0,86.0,88.0,94.0,90.0,72.0,76.0,74.0,75.0,77.0,75.0,74.0,72.0,75.0,74.0,78.0,74.0,0.8901061280383429,0.0732625813077713,0.03663129065388565,0.8837525492861998,0.07953772943575799,0.03670972127804215,Draw
3,-5,4,3,0,0,1,0,76.0,77.0,79.0,74.0,73.0,79.0,82.0,79.0,81.0,81.0,80.0,76.0,74.0,71.0,76.0,73.0,71.0,73.0,77.0,69.0,76.0,69.0,0.6983240223463686,0.18994413407821228,0.11173184357541899,0.7005604483586869,0.19055244195356286,0.10888710968775019,Win
-3,1,1,4,0,0,1,0,75.0,73.0,71.0,72.0,69.0,71.0,69.0,69.0,67.0,76.0,76.0,77.0,73.0,76.0,73.0,76.0,79.0,71.0,74.0,75.0,75.0,79.0,0.44134505158578524,0.28754298815437523,0.2711119602598395,0.43421052631578944,0.28289473684210525,0.28289473684210525,Win
-10,-7,2,1,0,0,1,0,75.0,72.0,75.0,75.0,75.0,72.0,75.0,75.0,77.0,76.0,74.0,77.0,71.0,74.0,74.0,73.0,73.0,75.0,76.0,70.0,62.0,73.0,0.4540461369461735,0.3075796411570853,0.23837422189674112,0.4454368932038835,0.301747572815534,0.2528155339805825,Lose
9,5,7,4,0,0,1,0,81.0,81.0,79.0,85.0,82.0,80.0,76.0,83.0,84.0,79.0,78.0,79.0,76.0,77.0,83.0,79.0,80.0,81.0,80.0,81.0,76.0,82.0,0.6086603675149267,0.25482580719958264,0.1365138252854907,0.5892620527978799,0.2580012231169096,0.1527367240852105,Win
-12,-3,1,2,0,0,1,0,72.0,77.0,70.0,76.0,75.0,80.0,72.0,77.0,76.0,72.0,74.0,79.0,75.0,74.0,78.0,74.0,73.0,70.0,73.0,72.0,78.0,72.0,0.41401273885350315,0.2929936305732484,0.2929936305732484,0.40822528363047,0.28889789303079416,0.3028768233387358,Lose
7,-13,6,1,0,0,1,0,81.0,81.0,84.0,87.0,83.0,87.0,87.0,87.0,87.0,86.0,93.0,72.0,77.0,76.0,76.0,75.0,80.0,78.0,77.0,72.0,76.0,74.0,0.8677685950413222,0.08677685950413223,0.04545454545454545,0.874089490114464,0.0801248699271592,0.04578563995837669,Win
1,2,4,5,0,0,1,0,79.0,70.0,75.0,80.0,71.0,79.0,77.0,81.0,79.0,76.0,77.0,76.0,76.0,81.0,80.0,77.0,78.0,78.0,81.0,78.0,77.0,79.0,0.39616613418530355,0.2971246006389776,0.30670926517571884,0.3815583602795452,0.30155418796286637,0.3168874517575884,Lose
-1,-6,2,3,0,0,1,0,74.0,76.0,82.0,81.0,80.0,80.0,82.0,77.0,73.0,80.0,80.0,77.0,76.0,73.0,75.0,74.0,74.0,76.0,77.0,76.0,74.0,71.0,0.5717651950932151,0.2546261002148451,0.17360870469193984,0.5736872443797865,0.2521204468721693,0.17419230874804426,Draw
5,-7,4,0,0,0,1,0,76.0,74.0,75.0,77.0,75.0,75.0,72.0,76.0,74.0,73.0,78.0,71.0,73.0,72.0,73.0,73.0,72.0,71.0,74.0,76.0,72.0,71.0,0.47482014388489213,0.2877697841726619,0.23741007194244607,0.4658527279664251,0.28233498664631823,0.25181228538725675,Win
-13,23,2,7,0,0,1,0,76.0,76.0,67.0,71.0,72.0,71.0,73.0,70.0,77.0,68.0,69.0,83.0,79.0,85.0,82.0,79.0,85.0,86.0,83.0,94.0,90.0,90.0,0.04989604989604989,0.1185031185031185,0.8316008316008316,0.06905569007263922,0.12029055690072638,0.8106537530266344,Lose
-1,5,3,5,0,0,1,0,77.0,72.0,72.0,76.0,76.0,71.0,75.0,74.0,74.0,79.0,79.0,76.0,77.0,79.0,74.0,81.0,82.0,79.0,81.0,81.0,82.0,79.0,0.25339366515837103,0.27149321266968324,0.4751131221719457,0.2553191489361702,0.26595744680851063,0.4787234042553191,Draw
-8,-2,4,2,0,0,1,0,70.0,76.0,76.0,75.0,70.0,76.0,77.0,74.0,75.0,75.0,78.0,75.0,73.0,72.0,71.0,69.0,69.0,71.0,72.0,67.0,69.0,76.0,0.4652011310772599,0.2804889172671714,0.25430995165556874,0.4569015166058744,0.2754847379535419,0.26761374544058353,Win
-4,5,2,5,0,0,1,0,77.0,71.0,74.0,74.0,73.0,76.0,75.0,73.0,74.0,70.0,65.0,68.0,78.0,71.0,76.0,77.0,79.0,77.0,69.0,80.0,71.0,78.0,0.29753038024304196,0.28851430811446493,0.4139553116424932,0.31119311193111926,0.2829028290282903,0.40590405904059046,Lose
2,-11,3,2,0,0,1,0,79.0,80.0,77.0,83.0,79.0,80.0,80.0,76.0,81.0,78.0,82.0,73.0,72.0,75.0,75.0,75.0,75.0,75.0,72.0,71.0,76.0,74.0,0.6818181818181818,0.2121212121212121,0.10606060606060605,0.6676557863501484,0.20771513353115725,0.12462908011869436,Win
-2,11,3,8,0,0,1,0,79.0,75.0,78.0,74.0,74.0,80.0,76.0,72.0,78.0,72.0,75.0,81.0,81.0,79.0,85.0,82.0,83.0,80.0,76.0,84.0,79.0,78.0,0.18181818181818185,0.27272727272727276,0.5454545454545455,0.19207317073170732,0.274390243902439,0.5335365853658537,Win
14,0,6,4,0,0,1,0,81.0,81.0,84.0,75.0,83.0,87.0,87.0,87.0,87.0,86.0,93.0,79.0,78.0,70.0,80.0,71.0,77.0,79.0,76.0,79.0,77.0,79.0,0.8562415502478594,0.09418657052726455,0.049571879224876075,0.8475446887199507,0.09492500513663449,0.05753030614341484,Win
2,-1,5,2,0,0,1,0,76.0,79.0,81.0,80.0,66.0,79.0,81.0,79.0,78.0,78.0,80.0,74.0,76.0,76.0,80.0,81.0,73.0,77.0,82.0,80.0,80.0,81.0,0.5223880597014926,0.26865671641791045,0.208955223880597,0.5030540935415162,0.2820151736520622,0.2149307328064215,Win
-4,8,3,5,0,0,1,0,77.0,76.0,73.0,73.0,74.0,74.0,76.0,77.0,76.0,74.0,74.0,76.0,74.0,75.0,77.0,75.0,72.0,76.0,74.0,73.0,75.0,78.0,0.3774574049803408,0.2948885976408912,0.327653997378768,0.3670872875169465,0.2925226822400667,0.34039003024298675,Draw
13,-1,6,3,0,0,1,0,83.0,84.0,83.0,80.0,83.0,84.0,86.0,78.0,94.0,90.0,89.0,77.0,72.0,72.0,76.0,76.0,74.0,71.0,75.0,74.0,73.0,79.0,0.8910212474297463,0.0726525017135024,0.0363262508567512,0.879404710657401,0.08474263575425865,0.0358526535883402,Win
6,-1,5,5,0,0,1,0,76.0,77.0,79.0,74.0,81.0,71.0,81.0,81.0,81.0,82.0,79.0,70.0,76.0,76.0,75.0,70.0,76.0,77.0,74.0,75.0,75.0,78.0,0.6690140845070423,0.19718309859154928,0.13380281690140844,0.6725595695618755,0.19100691775557263,0.13643351268255186,Win
